Product_ID,User_ID,Order_Date,Return_Date,Product_Category,Product_Price,Order_Quantity,Return_Reason,Days_to_Return,User_Age,User_Gender,User_Location,Payment_Method
PROD00000000,USER00000000,2023-08-05,2024-08-26,Clothing,411.59,3,Changed mind,387.0,58,Male,City54,Debit Card
PROD00000001,USER00000001,2023-10-09,2023-11-09,Books,288.88,3,Wrong item,31.0,68,Female,City85,Credit Card
PROD00000005,USER00000005,2024-02-14,2024-09-22,Electronics,252.12,1,Defective,221.0,46,Female,City47,Debit Card
PROD00000006,USER00000006,2023-05-29,2023-08-03,Clothing,382.89,2,Wrong item,66.0,25,Male,City50,Credit Card
PROD00000007,USER00000007,2023-02-09,2024-08-01,Electronics,306.39,3,Not as described,539.0,67,Female,City39,Credit Card
PROD00000009,USER00000009,2023-03-10,2024-01-21,Clothing,294.94,3,Not as described,317.0,44,Male,City82,Credit Card
PROD00000017,USER00000017,2023-02-03,2023-06-03,Electronics,400.12,1,Defective,120.0,33,Male,City33,PayPal
PROD00000028,USER00000028,2024-05-15,2024-09-05,Toys,106.6,5,Defective,113.0,53,Male,City69,Credit Card
PROD00000037,USER00000037,2023-02-11,2024-05-10,Clothing,246.15,1,Wrong item,454.0,31,Female,City62,Gift Card
PROD00000043,USER00000043,2024-05-23,2024-06-05,Clothing,105.7,3,Wrong item,13.0,44,Male,City41,Credit Card
PROD00000046,USER00000046,2023-05-22,2024-03-09,Home,97.31,2,Changed mind,292.0,53,Female,City49,Debit Card
PROD00000050,USER00000050,2023-06-14,2024-07-21,Books,23.6,1,Defective,403.0,37,Female,City12,Credit Card
PROD00000065,USER00000065,2023-06-03,2023-09-22,Toys,280.61,2,Defective,111.0,32,Male,City92,Debit Card
PROD00000068,USER00000068,2023-11-13,2024-06-16,Electronics,394.08,3,Wrong item,216.0,62,Male,City28,Credit Card
PROD00000075,USER00000075,2023-05-08,2024-01-19,Electronics,332.39,5,Not as described,256.0,36,Male,City53,Debit Card
PROD00000077,USER00000077,2023-04-09,2024-01-21,Books,185.34,2,Not as described,287.0,31,Female,City34,PayPal
PROD00000078,USER00000078,2023-05-07,2024-08-10,Toys,64.29,2,Not as described,461.0,39,Male,City57,Debit Card
PROD00000082,USER00000082,2023-03-17,2023-08-31,Electronics,496.22,5,Changed mind,167.0,67,Male,City36,Gift Card
PROD00000083,USER00000083,2023-06-08,2024-10-23,Electronics,52.19,1,Not as described,503.0,21,Female,City100,Debit Card
PROD00000092,USER00000092,2023-10-02,2024-02-27,Home,394.71,4,Changed mind,148.0,66,Female,City25,Gift Card
PROD00000093,USER00000093,2023-07-29,2024-07-01,Home,230.9,2,Defective,338.0,69,Male,City10,Credit Card
PROD00000096,USER00000096,2023-06-18,2023-11-08,Toys,496.31,4,Defective,143.0,53,Male,City88,Gift Card
PROD00000099,USER00000099,2023-12-07,2024-12-30,Books,46.61,1,Wrong item,389.0,42,Male,City12,Credit Card
PROD00000101,USER00000101,2024-05-01,2024-08-20,Books,169.93,5,Wrong item,111.0,40,Male,City40,Credit Card
PROD00000104,USER00000104,2023-04-10,2023-10-24,Home,35.16,3,Defective,197.0,48,Female,City27,PayPal
PROD00000116,USER00000116,2023-09-26,2024-07-15,Books,79.9,4,Defective,293.0,42,Female,City73,PayPal
PROD00000117,USER00000117,2024-02-04,2024-09-17,Electronics,265.23,4,Changed mind,226.0,57,Male,City89,Credit Card
PROD00000120,USER00000120,2024-08-08,2024-10-13,Books,245.44,5,Changed mind,66.0,29,Female,City34,PayPal
PROD00000132,USER00000132,2023-02-15,2024-09-03,Electronics,174.94,1,Defective,566.0,62,Female,City48,PayPal
PROD00000136,USER00000136,2023-01-23,2023-06-11,Toys,386.51,1,Wrong item,139.0,27,Male,City50,Credit Card
PROD00000141,USER00000141,2023-07-29,2024-05-13,Clothing,173.42,1,Wrong item,289.0,33,Female,City34,Gift Card
PROD00000159,USER00000159,2023-09-15,2024-08-25,Clothing,217.79,4,Defective,345.0,40,Male,City62,PayPal
PROD00000160,USER00000160,2023-11-04,2024-09-28,Clothing,434.66,2,Not as described,329.0,19,Female,City81,Debit Card
PROD00000163,USER00000163,2023-04-27,2024-09-14,Toys,291.43,4,Defective,506.0,22,Male,City73,PayPal
PROD00000164,USER00000164,2024-06-02,2024-10-02,Electronics,128.65,1,Changed mind,122.0,37,Female,City62,Debit Card
PROD00000165,USER00000165,2023-10-01,2024-08-01,Books,396.48,5,Wrong item,305.0,69,Male,City36,Debit Card
PROD00000170,USER00000170,2023-12-01,2024-05-09,Clothing,118.2,5,Changed mind,160.0,32,Male,City93,Gift Card
PROD00000171,USER00000171,2023-12-17,2024-07-02,Home,138.23,2,Wrong item,198.0,28,Female,City95,PayPal
